time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/entropy_loss,train/std,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
,,2200000,,,,535,-4.327158274650574,1.0237294435501099,0.928541898727417,-0.00600617081989185,0.002644638530910015,0.1928515625,8.9351015e-05,0.0001,0.008864821901661345,0.015,3.617664875,171.75
7808,283,2211840,2.910692439999999,147.71,108,,,,,,,,,,,,,
7892,282,2232320,3.70753513,183.74,109,540,-4.329969906806946,1.02505362033844,0.9387168288230896,0.01107265062717488,0.02097543701529503,0.19275390625,9.991795e-05,0.0001,0.008703194260597229,0.015,,
,,2250000,,,,545,-4.330555166006088,1.0246995687484741,0.9267635345458984,-0.020925212796137203,-0.006875289138406515,0.226689453125,0.00010914963,0.0001,0.007973302978789433,0.015,2.537822,131.625
7984,282,2252800,3.2621328599999995,166.66,110,,,,,,,,,,,,,
8068,281,2273280,2.8880127599999996,145.96,111,550,-4.330896642208099,1.0250917673110962,0.9262804985046387,-0.0019192220611148514,0.0008383989334106445,0.21080078125,0.00010164484,0.0001,0.010376212585251779,0.015,,
8182,280,2293760,3.01697119,147.63,112,555,-4.3308023726940155,1.0244922637939453,0.9314883947372437,-0.0018740819564845878,0.007306656800210476,0.18138671875,8.468572e-05,0.0001,0.009209982397733256,0.015,,
,,2300000,,,,560,-4.3318426954746245,1.0252370834350586,0.9363028407096863,0.006591149608429987,0.011770762503147125,0.178232421875,9.0775975e-05,0.0001,0.009091281278524549,0.015,3.1821277500000003,159.5
8261,280,2314240,3.1512139500000003,157.34,113,,,,,,,,,,,,,
8332,280,2334720,3.2365392799999997,157.81,114,565,-4.332673839330673,1.0252395868301392,0.9289097785949707,-0.002860781118652085,0.021406076848506927,0.210830078125,0.00010260105,0.0001,0.009611726138973608,0.015,,
,,2350000,,,,570,-4.331415151357651,1.0250200033187866,0.9406301975250244,-0.0037754186247184406,0.0016942434012889862,0.1904296875,8.913539e-05,0.0001,0.008465994078433141,0.015,3.0228241249999996,147.5
8410,280,2355200,3.2920579200000004,164.64,115,,,,,,,,,,,,,
8494,279,2375680,3.2719016999999995,160.14,116,575,-4.332685046195984,1.0259896516799927,0.9381736516952515,0.0005377165337267797,0.006808682344853878,0.18962890625,9.280301e-05,0.0001,0.008600715283537284,0.015,,
8582,279,2396160,2.9862908900000003,149.29,117,580,-4.333584723472595,1.0259557962417603,0.9310576915740967,-0.009936753491201671,-0.007127656601369381,0.200263671875,9.445831e-05,0.0001,0.008913034957367926,0.015,,
,,2400000,,,,585,-4.336225049495697,1.027185320854187,0.9421072006225586,0.007172798046885873,0.015184767544269562,0.213359375,0.00010197286,0.0001,0.0077865746093448256,0.015,3.4801562500000003,167.125
8670,278,2416640,3.3311736899999995,161.97,118,,,,,,,,,,,,,
8754,278,2437120,3.11217215,157.78,119,590,-4.335677851438522,1.0263816118240356,0.9189631938934326,-0.011464801719703245,0.0018121292814612389,0.214658203125,0.0001026548,0.0001,0.009698404221562668,0.015,,
,,2450000,,,,595,-4.334836953878403,1.026266098022461,0.9352165460586548,-0.012901572377595585,0.004270534962415695,0.178359375,8.4965395e-05,0.0001,0.00861962307128124,0.015,3.62984425,189.875
8831,278,2457600,3.1160835700000007,155.28,120,,,,,,,,,,,,,
8895,278,2478080,4.6219651299999995,232.28,121,600,-4.334655051231384,1.0261849164962769,0.9526721835136414,-0.023250263474765234,-0.011403890326619148,0.24025390625,0.00010800986,0.0001,0.005840167017304339,0.015,,
8960,278,2498560,3.07398576,155.19,122,605,-4.3350224733352665,1.0264695882797241,0.9483053684234619,-0.01096293539070757,-0.006077801808714867,0.2323046875,0.00011064919,0.0001,0.007377468376071192,0.015,,
,,2500000,,,,610,-4.335040611028671,1.0261722803115845,0.931992769241333,-0.004771637858357281,0.012545095756649971,0.2226171875,0.00010466904,0.0001,0.00928029404953122,0.015,3.2621358750000002,162.25
9042,278,2519040,3.12500272,157.1,123,,,,,,,,,,,,,
9144,277,2539520,3.9847121,199.11,124,615,-4.335677841901779,1.026960015296936,0.9558098316192627,-0.00023414815274009016,0.004068505018949509,0.166953125,7.734413e-05,0.0001,0.006686500976793468,0.015,,
,,2550000,,,,620,-4.335810371637344,1.0268133878707886,0.9199612140655518,-0.007169437167467549,0.00625052023679018,0.231962890625,0.0001158852,0.0001,0.010404728967696428,0.015,3.0396882499999998,157.625
9230,277,2560000,3.122903289999999,154.3,125,,,,,,,,,,,,,
9293,277,2580480,4.1163202000000005,208.16,126,625,-4.338300354480744,1.027517557144165,0.9503206610679626,-0.005009325230057584,0.01570352539420128,0.260595703125,0.0001221631,0.0001,0.007179252955829725,0.015,,
,,2600000,,,,630,-4.338262170553207,1.0273162126541138,0.9260456562042236,-0.007909892257303,-0.011264432221651077,0.20744140625,0.00010104829,0.0001,0.011054628835991025,0.015,4.176920875,219.125
9368,277,2600960,3.6614909399999997,183.74,127,,,,,,,,,,,,,
9439,277,2621440,3.0982212500000004,158.68,128,635,-4.338627852201462,1.0277050733566284,0.943699300289154,-0.004189770511220559,0.013607501983642578,0.296455078125,0.00014714696,0.0001,0.00862584394752048,0.015,,
9522,277,2641920,3.02712872,146.5,129,640,-4.341475435495377,1.0289615392684937,0.9215376377105713,0.009409681559191085,0.030817806720733643,0.226533203125,0.00010957782,0.0001,0.010189379034563899,0.015,,
,,2650000,,,,645,-4.344170520305633,1.0297001600265503,0.9227730631828308,0.0036504734725895105,0.008421549573540688,0.22595703125,0.00010961965,0.0001,0.009519569293479435,0.015,3.741774125,195.625
9607,277,2662400,3.3959758900000003,167.3,130,,,,,,,,,,,,,
9692,276,2682880,3.09995684,153.56,131,650,-4.344562683105469,1.029929518699646,0.9290263056755066,-0.007433589932479663,0.0006538834422826767,0.189658203125,8.957222e-05,0.0001,0.008430416249320843,0.015,,
,,2700000,,,,655,-4.348034316301346,1.031314492225647,0.9517385959625244,0.0026698872918495906,0.010343422181904316,0.17330078125,8.3519335e-05,0.0001,0.006955122234649025,0.015,2.8784245,154.375
9786,276,2703360,3.1729425899999995,158.68,132,,,,,,,,,,,,,
9853,276,2723840,3.4734042700000005,173.15,133,660,-4.350520967245102,1.0318049192428589,0.9373551607131958,0.00024480652646161614,0.009933965280652046,0.185234375,8.963123e-05,0.0001,0.009545940236421302,0.015,,
9932,276,2744320,3.0490131000000003,154.76,134,665,-4.350788692235946,1.0319472551345825,0.9258190989494324,-0.008669765866361558,-0.0002078413963317871,0.21205078125,0.000102363105,0.0001,0.009298713250318542,0.015,,
,,2750000,,,,670,-4.352250345945358,1.0323127508163452,0.9237552285194397,-0.00021195072527916637,0.004030403681099415,0.204619140625,0.00010135975,0.0001,0.008823998741572723,0.015,4.420636125,195.75
10025,275,2764800,3.40272617,165.82,135,,,,,,,,,,,,,
10098,275,2785280,3.24304571,161.05,136,675,-4.351371754407882,1.0318975448608398,0.9353570342063904,-0.01073091637037578,-0.009906940162181854,0.189755859375,9.0109395e-05,0.0001,0.007602514960453845,0.015,,
,,2800000,,,,680,-4.350034177303314,1.0313829183578491,0.9314365386962891,-0.014417746461986099,0.016886373981833458,0.190107421875,9.358092e-05,0.0001,0.007663359313737601,0.015,2.718366625,139.625
10170,275,2805760,3.16366699,159.22,137,,,,,,,,,,,,,
10240,275,2826240,3.3964800299999998,167.08,138,685,-4.348882591724395,1.0309890508651733,0.9299924373626709,-0.019118125833920203,-0.01711636409163475,0.194873046875,9.26027e-05,0.0001,0.007311707107000984,0.015,,
10327,275,2846720,3.9017876099999995,195.42,139,690,-4.347817100286484,1.0308750867843628,0.9306838512420654,-0.020103567897167524,-0.01776508241891861,0.229814453125,0.00011465128,0.0001,0.007143189960042946,0.015,,
,,2850000,,,,695,-4.348777192831039,1.030949592590332,0.9365611672401428,-0.001041771975433221,0.002267511561512947,0.251298828125,0.00012602232,0.0001,0.008242034176946618,0.015,3.7182278749999997,163.625
10399,275,2867200,3.016621400000001,150.05,140,,,,,,,,,,,,,
10466,275,2887680,3.2846979099999998,160.78,141,700,-4.349295362234115,1.0317226648330688,0.9358792304992676,0.004938388436712558,0.0039182789623737335,0.198369140625,0.00010048503,0.0001,0.008353616866515949,0.015,,
,,2900000,,,,705,-4.349138853549957,1.0311932563781738,0.9264306426048279,-0.011394398062693654,0.0045931702479720116,0.1980078125,9.691834e-05,0.0001,0.008346846238709986,0.015,2.798831125,132.875
10556,275,2908160,3.1300491300000006,154.77,142,,,,,,,,,,,,,
10642,275,2928640,4.050406980000001,203.53,143,710,-4.349181228876114,1.03146493434906,0.9313070178031921,-0.007648535042681033,-0.008609114214777946,0.211142578125,9.9777906e-05,0.0001,0.008282180883688851,0.015,,
10736,274,2949120,3.17477487,159.21,144,715,-4.350499342679978,1.0318236351013184,0.928054690361023,-0.01000330491347995,-0.0064936354756355286,0.210458984375,0.00010119982,0.0001,0.008984865942038596,0.015,,
,,2950000,,,,720,-4.351276223659515,1.0319372415542603,0.9307551383972168,-0.00680191974643094,-0.0070517342537641525,0.21935546875,0.00010545724,0.0001,0.009785708889830857,0.015,4.633765875,214.25
10835,274,2969600,3.0383841800000004,158.78,145,,,,,,,,,,,,,
10924,273,2990080,3.8903032300000002,189.5,146,725,-4.351731203794479,1.0324510335922241,0.9170971512794495,-0.0020972689168411306,-0.004545329138636589,0.2633203125,0.00013295973,0.0001,0.010213357578031719,0.015,,
,,3000000,,,,730,-4.353595960140228,1.0328959226608276,0.9322000741958618,-0.00870671273660264,0.0027508223429322243,0.192275390625,9.216003e-05,0.0001,0.008819250533706509,0.015,2.489544625,146.625
11019,273,3010560,3.06538719,156.48,147,,,,,,,,,,,,,
11109,272,3031040,4.061610679999999,202.94,148,735,-4.354164391756058,1.0331515073776245,0.9302825927734375,-0.0031900368741480632,0.01489586103707552,0.132392578125,6.520964e-05,5e-05,0.009894876192556695,0.015,,
,,3050000,,,,740,-4.35580948472023,1.0337533950805664,0.9361283183097839,-0.005291780558691244,0.0397537462413311,0.12876953125,6.5073196e-05,5e-05,0.009592105892952531,0.015,3.6527007499999997,172.75
11207,272,3051520,3.01770652,150.97,149,,,,,,,,,,,,,
11282,272,3072000,3.21380715,155.39,150,745,-4.358934062719345,1.034894347190857,0.9407937526702881,0.007775967356137698,0.015056779608130455,0.198779296875,9.537382e-05,5e-05,0.009884245423600078,0.015,,
11350,272,3092480,3.0962916699999994,152.72,151,750,-4.35992553114891,1.034927248954773,0.9348093867301941,-0.004352928706648527,0.025063972920179367,0.161044921875,7.7438e-05,5e-05,0.011341409573797137,0.015,,
,,3100000,,,,755,-4.361769763231277,1.0359350442886353,0.9344290494918823,0.004810055708658183,0.018361136317253113,0.148818359375,7.031211e-05,5e-05,0.009295762008987367,0.015,3.4676565,170.0
11441,272,3112960,3.0523286499999993,149.22,152,,,,,,,,,,,,,
11522,271,3133440,3.8797483900000005,189.64,153,760,-4.362018337249756,1.0355653762817383,0.918693482875824,-0.018264629498880823,0.0009769992902874947,0.238466796875,0.00011031601,5e-05,0.010480551013024524,0.015,,
,,3150000,,,,765,-4.361670978069306,1.0354918241500854,0.9357468485832214,-0.015023884210240795,-0.009697498753666878,0.1421484375,7.335316e-05,5e-05,0.00979406307451427,0.015,3.9754936249999995,186.375
11604,271,3153920,3.9234131199999998,195.38,154,,,,,,,,,,,,,
11699,271,3174400,2.92618287,147.7,155,770,-4.36145504951477,1.0356731414794922,0.9445399045944214,-0.00330901954555884,0.006960464641451836,0.229091796875,0.00010195305,5e-05,0.009472841774113476,0.015,,
11793,270,3194880,3.1683126400000003,153.98,156,775,-4.364391840696335,1.0366812944412231,0.9332700967788696,-0.002542418245138833,-0.0005281399935483932,0.14513671875,7.075122e-05,5e-05,0.009725305505562575,0.015,,
,,3200000,,,,780,-4.3639686584472654,1.0362350940704346,0.9272193312644958,-0.01729582515428774,-0.016530103981494904,0.167177734375,7.658069e-05,5e-05,0.009637955604121088,0.015,2.989180375,149.625
11890,270,3215360,4.140534779999999,203.83,157,,,,,,,,,,,,,
11971,270,3235840,3.1689059399999997,157.06,158,785,-4.3635446178913115,1.036301612854004,0.933792769908905,-0.008467925172444666,0.0001219678670167923,0.160498046875,7.366498e-05,5e-05,0.009621895463205875,0.015,,
,,3250000,,,,790,-4.363800834417344,1.0362650156021118,0.9234846234321594,-0.01952091483719414,-0.013857746496796608,0.167734375,7.502711e-05,5e-05,0.009352105134166778,0.015,3.2921308750000002,154.125
12037,270,3256320,2.95517682,152.11,159,,,,,,,,,,,,,
12099,270,3276800,5.328677250000001,263.69,160,795,-4.36155712723732,1.035455346107483,0.9349318742752075,-0.031659474710468205,-0.024132758378982544,0.25005859375,0.0001138323,5e-05,0.0077983226656215265,0.015,,
12163,271,3297280,3.03065266,148.31,161,800,-4.360977954864502,1.035455346107483,0.936473548412323,-0.014513611632573885,1.4758668839931488e-05,0.312666015625,0.0001555701,5e-05,0.00990554946823977,0.015,,
,,3300000,,,,805,-4.360936901569366,1.0352762937545776,0.935301661491394,-0.00742406358855078,0.0003212280571460724,0.21896484375,9.926521e-05,5e-05,0.010418017483316363,0.015,3.2611974999999997,163.875
12232,271,3317760,3.2448813999999997,160.17,162,,,,,,,,,,,,,
12294,271,3338240,3.88336831,193.82,163,810,-4.361629116535187,1.035660982131958,0.9509514570236206,-0.010482822183403186,-0.0037456247955560684,0.187353515625,8.444999e-05,5e-05,0.008075656605651602,0.015,,
,,3350000,,,,815,-4.362553832530975,1.0357065200805664,0.9443814754486084,-0.007316506520655821,-0.011675938032567501,0.194609375,9.416777e-05,5e-05,0.008834464988904073,0.015,3.0556871250000004,155.125
12363,271,3358720,3.172461410000001,157.36,164,,,,,,,,,,,,,
12425,271,3379200,3.0798854100000006,154.42,165,820,-4.36374210357666,1.0364247560501099,0.9371383190155029,-0.001071426330745453,0.024202674627304077,0.178564453125,8.3732e-05,5e-05,0.009879635417601094,0.015,,
12487,272,3399680,2.9012706399999995,147.8,166,825,-4.365184451341629,1.036873459815979,0.9522745013237,-9.188616255414672e-05,0.01123035792261362,0.17640625,8.396908e-05,5e-05,0.007265636111842468,0.015,,
,,3400000,,,,830,-4.364361324310303,1.036463737487793,0.9330678582191467,-0.012363038724579382,0.004483395256102085,0.19333984375,8.7372784e-05,5e-05,0.00861627296777442,0.015,3.153564875,150.625
12552,272,3420160,3.39851795,165.55,167,,,,,,,,,,,,,
12615,272,3440640,4.75404196,234.97,168,835,-4.362973129749298,1.035772442817688,0.9178533554077148,-0.04380788245704025,-0.03704911097884178,0.20822265625,9.737108e-05,5e-05,0.0069911658304044975,0.015,,
,,3450000,,,,840,-4.362023543119431,1.035683274269104,0.9225860834121704,-0.010186044179863529,-0.007380093447864056,0.19265625,8.5466505e-05,5e-05,0.011132766562514006,0.015,3.592063875,179.25
12683,272,3461120,3.0424489399999994,155.0,169,,,,,,,,,,,,,
12746,273,3481600,3.1007881,150.19,170,845,-4.362877776622772,1.0360937118530273,0.9292160868644714,-0.0075198272684065155,-0.0027136914432048798,0.164130859375,8.013958e-05,5e-05,0.010078316800063476,0.015,,
,,3500000,,,,850,-4.363689639568329,1.0362157821655273,0.9440363049507141,-0.01200589908665279,0.00912468321621418,0.155419921875,6.982498e-05,5e-05,0.007311038565239869,0.015,3.7322620000000004,167.5
12813,273,3502080,4.06107204,197.58,171,,,,,,,,,,,,,
12877,273,3522560,2.9115177900000004,149.42,172,855,-4.364506213665009,1.036387324333191,0.9270577430725098,-0.014846484470326686,-0.006855946034193039,0.16513671875,7.756247e-05,5e-05,0.009402397777885199,0.015,,
12940,273,3543040,3.1654524899999994,156.5,173,860,-4.365808749198914,1.0373588800430298,0.9525851011276245,0.007831029472799855,0.013773377984762192,0.18849609375,8.926205e-05,5e-05,0.00804915101674851,0.015,,
,,3550000,,,,865,-4.366934072971344,1.0374699831008911,0.935877799987793,-0.006542197057788144,-0.0033675283193588257,0.154609375,7.585676e-05,5e-05,0.009458030613604933,0.015,3.08386925,162.0
13008,273,3563520,2.9876805700000006,147.42,174,,,,,,,,,,,,,
13070,274,3584000,3.18578939,158.33,175,870,-4.3671102821826935,1.0374830961227417,0.9523749351501465,-0.002249175169999944,-0.0007229605689644814,0.147548828125,6.889814e-05,5e-05,0.007309926213347353,0.015,,
,,3600000,,,,875,-4.366807118654251,1.0372978448867798,0.9509133100509644,-0.010144733098277356,5.7229772210121155e-06,0.18005859375,8.2427556e-05,5e-05,0.007888328791595995,0.015,3.4653165,161.75
13139,274,3604480,3.1001609499999994,155.46,176,,,,,,,,,,,,,
13206,274,3624960,3.84420622,194.95,177,880,-4.369189573526382,1.0385075807571411,0.941715657711029,-0.008642216319276485,-0.011655723676085472,0.218720703125,0.00010713355,5e-05,0.007842471476760694,0.015,,
13280,274,3645440,2.9681284999999997,151.42,178,885,-4.370724755525589,1.03889000415802,0.937700629234314,-0.006248123787372606,-0.004672380164265633,0.1677734375,8.05557e-05,5e-05,0.009789090256672352,0.015,,
,,3650000,,,,890,-4.370611574649811,1.0388379096984863,0.9470615386962891,-0.0033646249755111056,0.0065870340913534164,0.1653125,7.892412e-05,5e-05,0.008103064887691289,0.015,6.7726745,356.25
13372,274,3665920,3.3196654200000006,163.65,179,,,,,,,,,,,,,
13460,273,3686400,2.95077444,147.83,180,895,-4.371197636127472,1.0389598608016968,0.9489494562149048,-0.014950846114661544,-0.011850661598145962,0.19939453125,9.121166e-05,5e-05,0.00902450736379251,0.015,,
,,3700000,,,,900,-4.37197587966919,1.0392824411392212,0.9439001083374023,0.000938898734311806,0.017647260800004005,0.195966796875,8.924558e-05,5e-05,0.009421999271726236,0.015,3.2951517500000005,145.25
13539,273,3706880,3.2631456299999995,161.67,181,,,,,,,,,,,,,
13605,273,3727360,3.0378948799999996,151.77,182,905,-4.372356669902802,1.0392775535583496,0.944453775882721,-0.009094779104925692,0.002789539285004139,0.22810546875,0.000111287714,5e-05,0.00876194914104417,0.015,,
13672,274,3747840,2.9782269599999993,152.28,183,910,-4.374495053291321,1.0403653383255005,0.9500881433486938,0.003965440741521889,0.011697016656398773,0.271376953125,0.00013441053,5e-05,0.008679047317709774,0.015,,
,,3750000,,,,915,-4.375466327667237,1.040449619293213,0.9383211135864258,-0.004228124869841849,0.01791948825120926,0.1626171875,7.7671975e-05,5e-05,0.009830962793203071,0.015,3.39521475,164.625
18094,208,3768320,3.1162602300000004,157.97,184,,,,,,,,,,,,,
18154,208,3788800,3.0115941,154.89,185,920,-4.375922669172287,1.0405768156051636,0.9364755749702454,-0.0030015093080874066,-0.004294205456972122,0.171142578125,8.404361e-05,5e-05,0.00992017355398275,0.015,,
,,3800000,,,,925,-4.376413550376892,1.040831446647644,0.9350175857543945,-0.002451539106987184,0.003875204361975193,0.19291015625,9.104671e-05,5e-05,0.009140538281062618,0.015,3.4150386249999998,163.875
21923,173,3809280,3.07349709,156.07,186,,,,,,,,,,,,,
30772,124,3829760,3.3217789900000003,165.04,187,930,-4.377577911615372,1.0410689115524292,0.9396220445632935,-0.0014892119415162598,0.010096430778503418,0.157353515625,7.523627e-05,5e-05,0.008765514653641731,0.015,,
,,3850000,,,,935,-4.378916563987732,1.041723370552063,0.950049638748169,-0.006497879896196537,-0.0017996104434132576,0.159853515625,8.051048e-05,5e-05,0.008049169748555868,0.015,3.1408337499999996,156.375
41660,92,3850240,3.2037641400000005,159.38,188,,,,,,,,,,,,,
42303,91,3870720,2.9531924400000005,153.81,189,940,-4.381065752506256,1.0422390699386597,0.9414604306221008,-0.008368443506769836,-0.002363612875342369,0.166015625,7.776143e-05,5e-05,0.009093831503996626,0.015,,
42362,91,3891200,3.88850478,194.05,190,945,-4.380271700620651,1.0420323610305786,0.9330228567123413,-0.011931889383049565,-0.002370069734752178,0.238017578125,0.00010779993,5e-05,0.01076847815536894,0.015,,
,,3900000,,,,950,-4.381305795907974,1.0424944162368774,0.9263914227485657,-0.006916124061244772,-0.0003235321491956711,0.192666015625,8.687128e-05,5e-05,0.01127683463622816,0.015,3.0693838749999998,150.375
45682,85,3911680,3.23853757,161.13,191,,,,,,,,,,,,,
47392,82,3932160,3.2712035999999993,162.19,192,955,-4.381513793468475,1.0424433946609497,0.9424147605895996,-0.0088659781505703,0.008458212949335575,0.232197265625,0.00010636168,5e-05,0.009271641887025908,0.015,,
,,3950000,,,,960,-4.381110811233521,1.042189598083496,0.945572018623352,-0.015115652187378146,-0.009766307659447193,0.1609765625,7.613298e-05,5e-05,0.009011090178973972,0.015,3.6393042500000004,164.0
52729,74,3952640,3.53169495,181.76,193,,,,,,,,,,,,,
52820,75,3973120,3.1068747499999994,154.33,194,965,-4.380046981573105,1.0418459177017212,0.9119429588317871,-0.02939832238247618,-0.023470710963010788,0.279033203125,0.00013175416,5e-05,0.012441102735465392,0.015,,
52883,75,3993600,3.0045370699999996,151.6,195,970,-4.3794393742084505,1.0419687032699585,0.9446791410446167,-0.00741939384766738,0.0006749182939529419,0.176181640625,8.008789e-05,5e-05,0.008514440732542426,0.015,,
,,4000000,,,,975,-4.382070885896683,1.0431715250015259,0.9333962202072144,0.0048178344548796305,0.00627669645473361,0.24666015625,0.00011928579,5e-05,0.00885000824870076,0.015,3.569877625,170.125
52954,75,4014080,3.05755967,152.74,196,,,,,,,,,,,,,
53018,76,4034560,3.1698302699999994,154.47,197,980,-4.385076547861099,1.0440647602081299,0.9458213448524475,0.010320854338788195,0.021693289279937744,0.149892578125,7.2620634e-05,5e-05,0.008038983532460407,0.015,,
,,4050000,,,,985,-4.386519732475281,1.0442827939987183,0.940743625164032,-0.007143281088792719,0.014584202319383621,0.15697265625,7.760588e-05,5e-05,0.008851375604281201,0.015,2.597371625,139.0
53085,76,4055040,3.096052509999999,159.11,198,,,,,,,,,,,,,
53147,76,4075520,3.17111462,156.53,199,990,-4.387213624715805,1.0446810722351074,0.9394822716712952,0.002588777162018232,0.008670254610478878,0.1583984375,7.3736315e-05,5e-05,0.009212147428188473,0.015,,
53212,76,4096000,3.0283676999999996,151.06,200,995,-4.388899114131927,1.0453535318374634,0.9414983987808228,0.00011826454167021438,0.00811607763171196,0.171376953125,7.9876176e-05,5e-05,0.009254486938007176,0.015,,
,,4100000,,,,1000,-4.38938677072525,1.0452178716659546,0.9480793476104736,0.0015438779038959183,0.002149907872080803,0.144052734375,6.746788e-05,5e-05,0.008304804897634313,0.015,3.011586125,158.75
53280,77,4116480,3.1859451600000006,158.35,201,,,,,,,,,,,,,
53341,77,4136960,3.6689154999999998,185.14,202,1005,-4.390227304697037,1.0454267263412476,0.9500272870063782,-0.010315021392743802,-0.012042492628097534,0.203115234375,9.407815e-05,5e-05,0.009087630133726633,0.015,,
,,4150000,,,,1010,-4.391193528175354,1.045990228652954,0.9481077790260315,-0.0005425541942531708,0.013882235623896122,0.16189453125,7.818482e-05,5e-05,0.009828079829458148,0.015,3.10676075,153.25
53407,77,4157440,3.074637579999999,154.22,203,,,,,,,,,,,,,
53470,78,4177920,3.4877045,168.67,204,1015,-4.392580318450928,1.046377182006836,0.9345182180404663,-0.005233526811352931,0.017621420323848724,0.157841796875,7.1131784e-05,5e-05,0.00944254120462574,0.015,,
53535,78,4198400,3.1438559600000002,164.09,205,1020,-4.3948871099948885,1.0472640991210938,0.9420496225357056,-0.0005550087422307115,0.008585943840444088,0.1659375,8.1832695e-05,5e-05,0.008207238094182685,0.015,,
,,4200000,,,,1025,-4.396923544406891,1.048085331916809,0.9383425116539001,-0.0018932622263673692,0.002728773280978203,0.16921875,7.8288664e-05,5e-05,0.009457354970509186,0.015,3.20185875,161.625
53609,78,4218880,3.23137975,158.33,206,,,,,,,,,,,,,
53673,78,4239360,3.0083250400000003,152.46,207,1030,-4.40091823220253,1.0496301651000977,0.9445734024047852,-0.004086755644675577,0.001437528058886528,0.163896484375,7.934376e-05,5e-05,0.009025020063854755,0.015,,
,,4250000,,,,1035,-4.404071183204651,1.0505229234695435,0.9372182488441467,-0.000797170821679174,0.01997661218047142,0.1523828125,7.22751e-05,5e-05,0.01032746492070146,0.015,3.5170067499999997,180.375
53740,79,4259840,3.0897693900000003,153.93,208,,,,,,,,,,,,,
53803,79,4280320,3.53360077,180.58,209,1040,-4.404490798711777,1.0504132509231567,0.9276177287101746,-0.015613023363257525,-0.026554394513368607,0.154599609375,7.231049e-05,5e-05,0.009766147256596015,0.015,,
,,4300000,,,,1045,-4.403253885507584,1.049996256828308,0.9349556565284729,-0.006830385775538161,-0.0014074482023715973,0.165693359375,8.13073e-05,5e-05,0.009308662007097155,0.015,2.99351775,141.125
53872,79,4300800,3.1417248400000006,156.17,210,,,,,,,,,,,,,
53937,80,4321280,3.3409192999999995,162.46,211,1050,-4.405031250715256,1.0508575439453125,0.929140567779541,0.0030127778032328933,0.02195212058722973,0.18662109375,8.485727e-05,5e-05,0.011085027342196553,0.015,,
54006,80,4341760,3.1707370399999997,156.71,212,1055,-4.405886163711548,1.050857424736023,0.9331831932067871,-0.005702919328905409,0.021492525935173035,0.210244140625,9.873044e-05,5e-05,0.009602652556495742,0.015,,
,,4350000,,,,1060,-4.40823292016983,1.0521421432495117,0.9455599188804626,0.004989054491743445,0.03759479895234108,0.220166015625,0.00010364305,5e-05,0.008753289990127087,0.015,3.8238280000000002,169.125
54086,80,4362240,2.95654885,149.64,213,,,,,,,,,,,,,
54180,80,4382720,3.0084175500000008,151.63,214,1065,-4.4108516418933865,1.0529046058654785,0.937420666217804,0.009064649761276087,0.019441504031419754,0.172109375,8.546481e-05,5e-05,0.009555390559835359,0.015,,
,,4400000,,,,1070,-4.4138287103176115,1.054051160812378,0.9396207928657532,0.006037573487410555,0.014480438083410263,0.17068359375,8.238718e-05,5e-05,0.009570822230889462,0.015,3.017094375,144.375
54277,81,4403200,3.02286532,150.28,215,,,,,,,,,,,,,
54352,81,4423680,3.89893641,198.03,216,1075,-4.4158129572868345,1.0545183420181274,0.9527392983436584,-0.004051028772664722,-0.01279476098716259,0.216982421875,0.00010018852,5e-05,0.008710063510225154,0.015,,
54449,81,4444160,3.1299337800000004,152.41,217,1080,-4.417891827821731,1.0554965734481812,0.9474573731422424,0.0032163009131181753,-0.00188446044921875,0.183095703125,9.04693e-05,5e-05,0.01107027508551255,0.015,,
,,4450000,,,,1085,-4.41988329410553,1.0559930801391602,0.9471268057823181,0.0012716425166581758,0.012186514213681221,0.2809375,0.00013865464,5e-05,0.007975885120686144,0.015,3.075534375,149.625
54531,81,4464640,3.1570802000000002,156.68,218,,,,,,,,,,,,,
54624,82,4485120,3.0992769800000004,154.15,219,1090,-4.420301510095596,1.0561310052871704,0.9367238283157349,-0.006763456475746352,-2.272147685289383e-05,0.187646484375,8.613175e-05,5e-05,0.008876512557035312,0.015,,
,,4500000,,,,1095,-4.421939336061477,1.0567948818206787,0.9558736681938171,-0.010230563950026408,-0.0016044685617089272,0.17291015625,8.638563e-05,5e-05,0.006954762005480006,0.015,3.405454625,174.5
54716,82,4505600,3.7802474700000004,188.57,220,,,,,,,,,,,,,
54783,82,4526080,3.036983580000001,150.99,221,1100,-4.424173535108566,1.057552456855774,0.935937225818634,-0.001938061292603379,0.004820423200726509,0.183046875,8.6326385e-05,5e-05,0.009191980045288801,0.015,,
54847,82,4546560,3.3992615900000005,166.7,222,1105,-4.42576851606369,1.058102011680603,0.9512821435928345,-0.007715499824698781,0.009971721097826958,0.171484375,8.282224e-05,5e-05,0.008267843414796517,0.015,,
,,4550000,,,,1110,-4.426666820049286,1.0583524703979492,0.9375730156898499,-0.011084467817272525,0.005382535979151726,0.28197265625,0.00014029082,5e-05,0.010429040887393057,0.015,3.4925895000000002,155.5
54920,83,4567040,3.20431807,155.57,223,,,,,,,,,,,,,
