time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/n_updates,train/entropy_loss,train/std,train/explained_variance,train/policy_gradient_loss,train/loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/value_loss,train/clip_range,eval/mean_reward,eval/mean_ep_length
,,650000,,,,155,-4.241540151834488,0.9948363900184631,0.9136713743209839,0.00292097750796529,0.017403636127710342,0.11740234375,5.832116e-05,0.0001,0.013213338386267424,0.015,3.275851375,163.5
2079,315,655360,3.0616998199999994,151.26,32,,,,,,,,,,,,,
2142,315,675840,3.87490663,194.09,33,160,-4.241216853857041,0.9947664141654968,0.9339740872383118,-0.013847212199616479,0.0173273254185915,0.11212890625,5.6309404e-05,0.0001,0.009814721619477496,0.015,,
2207,315,696320,3.1050389199999997,156.11,34,165,-4.24035325050354,0.9945254325866699,0.926932692527771,-0.022779654793557712,0.019185107201337814,0.1266796875,6.019358e-05,0.0001,0.012154826734913513,0.015,,
,,700000,,,,170,-4.240854828357697,0.9944372177124023,0.9134824275970459,-0.015622593881853391,-0.017157267779111862,0.109453125,5.347248e-05,0.0001,0.010738481767475605,0.015,2.8253193750000003,135.25
2275,315,716800,3.0557797700000005,156.39,35,,,,,,,,,,,,,
2338,315,737280,3.1999705900000004,163.96,36,175,-4.240265725851059,0.9944168925285339,0.9192980527877808,-0.013288321924337652,0.001838870346546173,0.11158203125,5.7566747e-05,0.0001,0.011690169253852219,0.015,,
,,750000,,,,180,-4.241101449728012,0.9949319958686829,0.9209028482437134,-0.005787962996982969,0.012655515223741531,0.123671875,5.860199e-05,0.0001,0.012057077661156655,0.015,4.402218875,225.875
2415,313,757760,3.2220133399999997,158.36,37,,,,,,,,,,,,,
2479,313,778240,3.4216829800000004,170.38,38,185,-4.242283226251602,0.9951990246772766,0.9376996159553528,-0.004473858428609674,0.017295029014348984,0.113671875,5.2861298e-05,0.0001,0.008883937553036958,0.015,,
2545,313,798720,3.1858014499999996,164.13,39,190,-4.242634392976761,0.9952874779701233,0.9235502481460571,-0.008329399615176954,-0.0025095753371715546,0.149404296875,7.0357804e-05,0.0001,0.012791913914261386,0.015,,
,,800000,,,,195,-4.243856000900268,0.9959502220153809,0.9241602420806885,0.003957797613111325,0.02827155403792858,0.139013671875,6.430219e-05,0.0001,0.01166263502324,0.015,2.9936388750000003,144.375
2615,313,819200,3.14169961,156.41,40,,,,,,,,,,,,,
2680,313,839680,3.04413052,153.33,41,200,-4.243517007827759,0.9956087470054626,0.9185314178466797,-0.009412970548000886,0.02595740556716919,0.123447265625,5.834923e-05,0.0001,0.011168132894672453,0.015,,
,,850000,,,,205,-4.24380509018898,0.9955280423164368,0.9283736944198608,-0.009418787005852209,0.002732994966208935,0.12953125,6.367847e-05,0.0001,0.011076688187895343,0.015,3.134478,152.0
2772,310,860160,3.1052463399999994,157.06,42,,,,,,,,,,,,,
2851,308,880640,3.2670025600000003,162.97,43,210,-4.246284728050232,0.996722936630249,0.9373367428779602,0.003018991468125023,0.020209919661283493,0.143916015625,7.448858e-05,0.0001,0.00971820266568102,0.015,,
,,900000,,,,215,-4.2463750076293945,0.9965559840202332,0.9115157723426819,-0.015135216804919764,0.0011601746082305908,0.13244140625,6.649628e-05,0.0001,0.012230287338607013,0.015,3.166368875,152.75
2919,308,901120,3.0810672900000005,152.33,44,,,,,,,,,,,,,
2984,308,921600,2.93936554,150.61,45,220,-4.246961885690689,0.9966866374015808,0.926219642162323,-0.008216774555476149,-0.007508702576160431,0.13181640625,6.137388e-05,0.0001,0.010318185287760571,0.015,,
3049,308,942080,3.4348901700000005,171.97,46,225,-4.248583314418792,0.9975296854972839,0.9290999174118042,0.00030104392106295564,0.014103147201240063,0.129658203125,6.718225e-05,0.0001,0.010939654877875,0.015,,
,,950000,,,,230,-4.249868190288543,0.997851550579071,0.9253087639808655,-0.006112792241183342,-0.004967262968420982,0.121513671875,6.1157756e-05,0.0001,0.010950950141996145,0.015,4.91856575,225.0
3131,307,962560,3.06503045,153.85,47,,,,,,,,,,,,,
3202,306,983040,3.92002656,195.08,48,235,-4.250634433031082,0.9980946183204651,0.9262814521789551,-0.003099742353660986,0.01409003883600235,0.12458984375,5.974957e-05,0.0001,0.011762435485143214,0.015,,
,,1000000,,,,240,-4.2502996337413785,0.9977249503135681,0.9332706928253174,-0.022563028234289958,-0.006646455265581608,0.18716796875,8.595347e-05,0.0001,0.010041356850415468,0.015,3.701311875,189.625
3283,305,1003520,3.1761917700000004,159.5,49,,,,,,,,,,,,,
3367,304,1024000,3.08484658,152.38,50,245,-4.250144317150116,0.9977617263793945,0.912128746509552,-0.007196747298585251,-0.0031629353761672974,0.168798828125,7.518426e-05,0.0001,0.011143338221590965,0.015,,
3442,303,1044480,3.1698005400000007,161.26,51,250,-4.250780946016311,0.998070240020752,0.9111238121986389,-0.0013961645498056896,0.009343155659735203,0.1385546875,6.387563e-05,0.0001,0.011850519847357646,0.015,,
,,1050000,,,,255,-4.252187241315841,0.9985468983650208,0.9282603859901428,-0.005601609350705985,0.013291703537106514,0.165302734375,7.519351e-05,0.0001,0.011580430687172339,0.015,3.4116420000000005,176.875
3531,301,1064960,3.9934151000000004,196.15,52,,,,,,,,,,,,,
3615,300,1085440,3.1679371300000003,158.94,53,260,-4.252629910707474,0.9984493255615234,0.9299441576004028,-0.007323350650185603,-0.0012407535687088966,0.1319921875,6.216317e-05,0.0001,0.010619399111019447,0.015,,
,,1100000,,,,265,-4.253818256855011,0.9996688961982727,0.9392156004905701,0.004409018059304799,0.012842359952628613,0.2134375,9.529684e-05,0.0001,0.009107306881342083,0.015,3.1486210000000003,148.875
3696,299,1105920,3.23194341,161.7,54,,,,,,,,,,,,,
3772,298,1126400,3.1185553200000005,155.79,55,270,-4.256589179039001,1.00027334690094,0.9289525747299194,0.003929239884892013,0.03443276509642601,0.130224609375,7.023766e-05,0.0001,0.010330387849826365,0.015,,
3854,297,1146880,3.1049918699999997,155.8,56,275,-4.258187886476517,1.0005817413330078,0.9258131384849548,0.0015849665281712077,0.00957263633608818,0.179423828125,8.527911e-05,0.0001,0.011244510542601347,0.015,,
,,1150000,,,,280,-4.260521609783172,1.0014678239822388,0.9385634064674377,0.004568925457570003,0.007692396640777588,0.1387109375,6.80458e-05,0.0001,0.009633086974499747,0.015,3.13144825,165.875
3925,297,1167360,3.1070005000000003,158.0,57,,,,,,,,,,,,,
3989,297,1187840,3.17483727,160.6,58,285,-4.264142431020737,1.0027118921279907,0.9069396257400513,0.015819073622405994,0.01666073128581047,0.2003125,9.4536925e-05,0.0001,0.014968769393162802,0.015,,
,,1200000,,,,290,-4.266420801877976,1.0036228895187378,0.9295914769172668,0.008125180547358469,0.006607376039028168,0.14638671875,7.050106e-05,0.0001,0.010662734159268439,0.015,2.9538807499999997,150.0
4058,297,1208320,3.3286780999999994,164.88,59,,,,,,,,,,,,,
4123,298,1228800,2.9668793499999997,151.85,60,295,-4.267686928510666,1.0035191774368286,0.907922625541687,-0.0016489491726679262,0.0049052052199840546,0.154599609375,6.90403e-05,0.0001,0.013129725161707028,0.015,,
4186,298,1249280,3.1714527099999996,158.77,61,300,-4.269016630649567,1.0042757987976074,0.9153013229370117,0.00961898914683843,0.015568053349852562,0.1504296875,7.4472664e-05,0.0001,0.012244287743233145,0.015,,
,,1250000,,,,305,-4.269769387245178,1.0044140815734863,0.9307513236999512,-0.0008314139634603635,0.008266538381576538,0.143154296875,7.185312e-05,0.0001,0.010532193219987676,0.015,12.747592125,638.25
4309,294,1269760,3.1681923999999997,160.22,62,,,,,,,,,,,,,
