time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,train/clip_fraction,train/entropy_loss,train/std,train/approx_kl,train/learning_rate,train/value_loss,train/explained_variance,train/loss,train/n_updates,train/policy_gradient_loss,train/clip_range,eval/mean_ep_length,eval/mean_reward
6284,798720,8.489047710000001,341.86,39,127,0.300927734375,-4.227624660730362,0.9905505180358887,0.00018486546,0.0001,0.0013491013276507146,0.9966906309127808,-0.0047647999599576,190,-0.0003301841883512679,0.015,,
,800000,,,,,0.30060546875,-4.232246557474136,0.9922776222229004,0.00018634983,0.0001,0.001239621009444818,0.9968879222869873,-0.0020993840880692005,195,0.0013912317946960684,0.015,321.0,8.146655
7243,819200,8.29481997,331.62,40,113,,,,,,,,,,,,,
7294,839680,8.19298491,326.45,41,115,0.303583984375,-4.238106435537338,0.9941477179527283,0.00015129926,0.0001,0.0012846201927459334,0.996677041053772,-0.002716856077313423,200,-6.247910547244828e-05,0.015,,
,850000,,,,,0.298720703125,-4.243441982269287,0.9959443211555481,0.00021669257,0.0001,0.0011216184349905234,0.9973452091217041,-0.0014969296753406525,205,0.0006314887023836491,0.015,324.0,8.210655
7348,860160,8.36263788,335.21,42,117,,,,,,,,,,,,,
7399,880640,8.335848480000001,334.11,43,119,0.294990234375,-4.246885709762573,0.9968593120574951,0.0001746616,0.0001,0.0011139418887614737,0.9973242878913879,-0.00493828346952796,210,-0.0019859403268492315,0.015,,
,900000,,,,,0.299501953125,-4.248944693803788,0.9976463317871094,0.0001596801,0.0001,0.0010584813062450849,0.9972943663597107,-0.001542404294013977,215,-0.0016191412144326023,0.015,320.0,8.127323
7456,901120,8.20129483,326.89,44,120,,,,,,,,,,,,,
7507,921600,8.22040498,327.97,45,122,0.308154296875,-4.250397211313247,0.9979432225227356,0.00016995659,0.0001,0.0010430024775268975,0.997560977935791,0.002371970796957612,220,-0.0013903775307699106,0.015,,
7560,942080,8.19528545,326.56,46,124,0.34544921875,-4.25439532160759,0.9995662569999695,0.00021856492,0.0001,0.001061803757911548,0.9974015355110168,-0.008945273235440254,225,-0.004090265988124884,0.015,,
,950000,,,,,0.30197265625,-4.256541570425034,1.0002378225326538,0.00017906653,0.0001,0.0009478453057818114,0.9976682662963867,-0.008062419481575489,230,-0.005499277726485161,0.015,318.0,8.098584
7615,962560,8.104192000000001,321.73,47,126,,,,,,,,,,,,,
7666,983040,8.13600617,323.66,48,128,0.31599609375,-4.259701377153396,1.0012506246566772,0.0001725965,0.0001,0.0009703439575969242,0.997628390789032,-0.009425796568393707,235,-0.002486686340889719,0.015,,
,1000000,,,,,0.31751953125,-4.263588823080063,1.0026477575302124,0.00019269531,0.0001,0.00099872692298959,0.997684895992279,-0.006013525649905205,240,-0.0012410898541565984,0.015,313.0,7.986914
7721,1003520,7.98621522,315.79,49,129,,,,,,,,,,,,,
7793,1024000,7.999844540000001,316.52,50,131,0.332998046875,-4.269853661060333,1.0047003030776978,0.00020753499,0.0001,0.0009743292233906686,0.9977079033851624,0.00045372406020760536,245,0.0018690823701035697,0.015,,
7878,1044480,8.051728509999998,319.01,51,132,0.333330078125,-4.276221668720245,1.007135272026062,0.00021801628,0.0001,0.0009505388738762122,0.9978029727935791,-0.0011848427820950747,250,0.002034082064528775,0.015,,
,1050000,,,,,0.35068359375,-4.281719108819962,1.0087662935256958,0.00025629153,0.0001,0.0009298606179072522,0.9978030920028687,-0.00360789243131876,255,0.0016428294498109608,0.015,312.0,7.978133
7934,1064960,8.08633708,320.54,52,134,,,,,,,,,,,,,
8038,1085440,8.08053833,320.31,53,135,0.325068359375,-4.286030780076981,1.0101245641708374,0.00021465421,0.0001,0.0009378991088306066,0.9978692531585693,-0.0018796308431774378,260,0.0006587723271331925,0.015,,
,1100000,,,,,0.348125,-4.291790300607682,1.0120831727981567,0.00025727702,0.0001,0.0008558341817115434,0.9979726672172546,0.0011608668137341738,265,0.003095396782337048,0.015,312.0,7.974872
8104,1105920,8.02206082,317.29,54,136,,,,,,,,,,,,,
9125,1126400,7.99225015,315.86,55,123,0.344462890625,-4.297263847589493,1.014064908027649,0.0001889464,0.0001,0.0008387729183596093,0.9979093074798584,-0.002712243003770709,270,0.0009198647688390338,0.015,,
9176,1146880,7.975829449999999,315.02,56,124,0.35369140625,-4.302823810577393,1.0159252882003784,0.00025594173,0.0001,0.0008468598625040613,0.9982478618621826,-0.0026846411637961864,275,0.0023033831259817814,0.015,,
,1150000,,,,,0.3483203125,-4.307534245252609,1.0170193910598755,0.0002477194,0.0001,0.0007665322899993043,0.998195230960846,-0.0026573168579488993,280,-0.0007645263708400307,0.015,306.0,7.850947
9231,1167360,7.90924441,311.5,57,126,,,,,,,,,,,,,
9284,1187840,7.84005093,307.91,58,127,0.354833984375,-4.311832882165909,1.0189014673233032,0.0002522758,0.0001,0.0008369108765327837,0.9980894923210144,-0.00016822083853185177,285,0.0012727955144509907,0.015,,
,1200000,,,,,0.355087890625,-4.317822277545929,1.0213067531585693,0.00022346775,0.0001,0.0007636766638461267,0.9983218908309937,0.0021206573583185673,290,0.0022905333072776556,0.015,311.0,7.959546
9341,1208320,7.84616523,308.35,59,129,,,,,,,,,,,,,
9394,1228800,7.8538086,308.83,60,130,0.355771484375,-4.326256284713745,1.0239148139953613,0.00023742372,0.0001,0.0008351106925692875,0.9982319474220276,0.0017288128146901727,295,0.003667151777044637,0.015,,
9447,1249280,7.911648520000001,311.88,61,132,0.37296875,-4.332336821556091,1.0259045362472534,0.00025261255,0.0001,0.0007952373395528411,0.9982761740684509,0.0014465502463281155,300,0.0010493752488582686,0.015,,
,1250000,,,,,0.363916015625,-4.3386841237545015,1.0284873247146606,0.00026076223,0.0001,0.0007352085698221345,0.9982830882072449,0.0005606056656688452,305,0.0012243892157857773,0.015,303.0,7.787279
9504,1269760,7.801810180000001,306.25,62,133,,,,,,,,,,,,,
9557,1290240,7.751080829999999,303.63,63,134,0.374072265625,-4.3468025839328766,1.0310673713684082,0.00024905035,0.0001,0.0007722307134099538,0.9983862042427063,-0.00040988181717693806,310,0.0035922343023048597,0.015,,
,1300000,,,,,0.375615234375,-4.353963080644608,1.0333482027053833,0.00027465625,0.0001,0.0007179201280814595,0.9984681010246277,-0.0022926367819309235,315,0.0032715655589709057,0.015,300.0,7.733039
9614,1310720,7.691701189999999,300.41,64,136,,,,,,,,,,,,,
9668,1331200,7.605707879999999,296.25,65,137,0.359755859375,-4.358570657968521,1.0348777770996094,0.00024689973,0.0001,0.000713167718713521,0.9984092712402344,-0.00445451308041811,320,-0.000262403019987687,0.015,,
,1350000,,,,,0.36666015625,-4.365212414264679,1.0374066829681396,0.00026953063,0.0001,0.0007149448812560877,0.9985765814781189,-0.001583557459525764,325,0.002296722098690225,0.015,294.0,7.609262
9725,1351680,7.623489900000001,297.17,66,138,,,,,,,,,,,,,
9808,1372160,7.65968874,299.04,67,139,0.370673828125,-4.370969741344452,1.0395010709762573,0.00035404923,0.0001,0.0006690030977915739,0.9985616207122803,-0.0012250992003828287,330,-0.0010306028787090327,0.015,,
9864,1392640,7.63324931,297.67,68,141,0.353681640625,-4.376910903453827,1.041754126548767,0.00027098917,0.0001,0.0006437531198753277,0.998546302318573,-0.0040436494164168835,335,-0.0010582245359546504,0.015,,
,1400000,,,,,0.373173828125,-4.382900449037552,1.0434752702713013,0.00030697262,0.0001,0.0006819201903272188,0.9984855651855469,-0.004422486759722233,340,-0.0009590736871177796,0.015,297.0,7.677971
9923,1413120,7.6395216,297.91,69,142,,,,,,,,,,,,,
10005,1433600,7.57443879,294.63,70,143,0.37236328125,-4.387384676933289,1.0450416803359985,0.00026834253,0.0001,0.0005901561498467345,0.9987062811851501,-0.0053620971739292145,345,-0.002515478481909668,0.015,,
,1450000,,,,,0.3772265625,-4.392173643112183,1.0465059280395508,0.00028507315,0.0001,0.0006199938171630492,0.9986696839332581,-0.0050203860737383366,350,-0.0030127237835404232,0.015,296.0,7.652186
10067,1454080,7.57680913,294.75,71,144,,,,,,,,,,,,,
10125,1474560,7.523746610000001,292.15,72,145,0.385576171875,-4.395424863100052,1.0477099418640137,0.00035635853,0.0001,0.0006196807624655776,0.9986702799797058,-0.006474035792052746,355,-0.00412659996367438,0.015,,
10189,1495040,7.501400240000001,290.88,73,146,0.37263671875,-4.396572315692902,1.0481129884719849,0.00031169032,0.0001,0.0006194881431292742,0.9987211227416992,-0.010259927250444889,360,-0.0063397798742516895,0.015,,
,1500000,,,,,0.383515625,-4.3991885447502135,1.0490392446517944,0.00033996772,0.0001,0.0006842406665964518,0.9986003637313843,-0.00651759235188365,365,-0.004681891502841608,0.015,292.0,7.571042
10259,1515520,7.487026349999999,290.24,74,147,,,,,,,,,,,,,
10333,1536000,7.4361807299999985,287.62,75,148,0.390205078125,-4.403739967346191,1.0505926609039307,0.0002763352,0.0001,0.0006051176795881474,0.9985398054122925,-0.006029640324413776,370,-0.0035467042833624875,0.015,,
,1550000,,,,,0.373056640625,-4.404177442789078,1.050550103187561,0.00028493107,0.0001,0.0006367489054537145,0.9986876249313354,-0.010519543662667274,375,-0.006781558736693114,0.015,291.0,7.54841
10415,1556480,7.36903373,284.11,76,149,,,,,,,,,,,,,
10498,1576960,7.4165762100000014,286.51,77,150,0.383291015625,-4.406077069044113,1.05182945728302,0.00030889464,0.0001,0.0005660503569379216,0.9987411499023438,-0.007076568435877562,380,-0.0030490577420641783,0.015,,
10577,1597440,7.37429312,284.35,78,151,0.38271484375,-4.410598247051239,1.0532437562942505,0.0003225409,0.0001,0.0005944542869838188,0.9987767934799194,-0.008063934743404388,385,-0.003038547517644474,0.015,,
,1600000,,,,,0.39939453125,-4.413650177717209,1.054254412651062,0.00039650328,0.0001,0.0006218140842247521,0.9987615942955017,-0.008040286600589752,390,-0.0038144143531098963,0.015,293.0,7.593204
10663,1617920,7.35507103,283.39,79,151,,,,,,,,,,,,,
10741,1638400,7.34729638,283.04,80,152,0.419140625,-4.418375869989395,1.0559035539627075,0.00038882688,0.0001,0.0005975952208973468,0.9988084435462952,-0.007298669777810574,395,-0.003034999583505851,0.015,,
,1650000,,,,,0.4026953125,-4.422001225948334,1.0572880506515503,0.0004062637,0.0001,0.0005804119151434861,0.9987771511077881,-0.007341551128774881,400,-0.0038854558736784385,0.015,288.0,7.487467
10822,1658880,7.26015029,278.61,81,153,,,,,,,,,,,,,
10898,1679360,7.2194571299999994,276.54,82,154,0.4019140625,-4.427048832178116,1.0592564344406128,0.0003542758,0.0001,0.0006238428930373629,0.9986996650695801,-0.006120028905570507,405,-0.0018141210908106586,0.015,,
10973,1699840,7.338074880000001,282.58,83,154,0.396591796875,-4.43106494307518,1.0601478815078735,0.0004702121,0.0001,0.0005787263589445502,0.9988243579864502,-0.0063748545944690704,410,-0.003646912505646469,0.015,,
,1700000,,,,,0.399951171875,-4.431805694103241,1.0605088472366333,0.00038945055,0.0001,0.0005529248897801154,0.9988911151885986,-0.007266530767083168,415,-0.005095076630241237,0.015,298.0,7.682142
11052,1720320,7.35453862,283.42,84,155,,,,,,,,,,,,,
11130,1740800,7.360047099999999,283.66,85,156,0.395029296875,-4.43520339846611,1.0623778104782104,0.00037324996,0.0001,0.0005488131155289011,0.9988439679145813,-0.004700422286987305,420,-0.0015467542814440094,0.015,,
,1750000,,,,,0.41984375,-4.441460331678391,1.0641025304794312,0.00041565642,0.0001,0.0005367894768278348,0.9989522099494934,-0.0030401975382119417,425,-0.0007994103524288221,0.015,299.0,7.710702
11214,1761280,7.34756415,283.12,86,157,,,,,,,,,,,,,
11295,1781760,7.318683359999999,281.64,87,157,0.42306640625,-4.445483100414276,1.0655592679977417,0.00036595538,0.0001,0.0006223663019045488,0.9988679885864258,-0.005500370636582375,430,-0.0006588291648404266,0.015,,
,1800000,,,,,0.4237109375,-4.450103980302811,1.0670517683029175,0.00038969424,0.0001,0.0005633671558462083,0.9988515973091125,-0.00437764311209321,435,-0.00021403078731964344,0.015,298.0,7.69336
11383,1802240,7.32668713,281.99,88,158,,,,,,,,,,,,,
11465,1822720,7.32763327,282.06,89,158,0.421962890625,-4.455714410543441,1.069170594215393,0.00041412428,0.0001,0.0005686659572529607,0.998866617679596,-0.00437332596629858,440,0.0017347666191562894,0.015,,
11547,1843200,7.180097299999999,274.64,90,159,0.428984375,-4.461169257164001,1.071419596672058,0.00040147026,0.0001,0.0005951908677525353,0.9987998604774475,-0.0016372882528230548,445,0.0015732538908559946,0.015,,
,1850000,,,,,0.4210546875,-4.468316553831101,1.0743221044540405,0.0004158441,0.0001,0.0005734747180395061,0.9988664984703064,-0.000554652709979564,450,0.002919721344078425,0.015,290.0,7.52498
11632,1863680,7.11147027,271.18,91,160,,,,,,,,,,,,,
11714,1884160,7.091270420000001,270.19,92,160,0.430888671875,-4.475916223526001,1.0766797065734863,0.0003578553,0.0001,0.0005778383458527969,0.9987326860427856,6.809970363974571e-05,455,0.002832501769953524,0.015,,
,1900000,,,,,0.410322265625,-4.480440775156021,1.0781631469726562,0.00038931944,0.0001,0.0005658759376092348,0.9988271594047546,-0.0034764043521136045,460,0.0014137031165591908,0.015,285.0,7.428681
11798,1904640,7.04402872,267.76,93,161,,,,,,,,,,,,,
11877,1925120,7.072877299999999,269.17,94,162,0.419619140625,-4.486905655860901,1.0807664394378662,0.00032477878,0.0001,0.000565535651112441,0.9989199042320251,-0.0018322254763916135,465,0.0021913446170219687,0.015,,
11957,1945600,7.04844424,267.9,95,162,0.415146484375,-4.492139391899109,1.082266926765442,0.00040060622,0.0001,0.0005703412224102067,0.9989153742790222,-0.0048418063670396805,470,-0.0014525450818109675,0.015,,
,1950000,,,,,0.412841796875,-4.494672961235047,1.0830665826797485,0.00033257116,0.0001,0.000541375735992915,0.9990090131759644,-0.007373347878456116,475,-0.002068726526595128,0.015,291.0,7.546217
12043,1966080,7.113516799999998,271.15,96,163,,,,,,,,,,,,,
12122,1986560,7.10987463,271.04,97,163,0.43974609375,-4.498057109117508,1.084947943687439,0.00046988763,0.0001,0.0005233534173748922,0.9989224076271057,-0.005334861110895872,480,-0.0008043540540893446,0.015,,
,2000000,,,,,0.424921875,-4.502652047872544,1.0860992670059204,0.00034302572,0.0001,0.0005472937892045593,0.9989107847213745,-0.00800415500998497,485,-0.0017280667113482196,0.015,299.0,7.699965
12208,2007040,7.138557780000001,272.47,98,164,,,,,,,,,,,,,
12289,2027520,7.098847819999999,270.41,99,164,0.440390625,-4.506020178794861,1.0872727632522583,0.000401735,0.0001,0.0005000718694645912,0.9989957213401794,-0.007917534559965134,490,-0.0025822396032162943,0.015,,
